Product_ID,Product_Name,Category,Subcategory,Brand,Price
PROD_1,Product_1,Beauty,Camera,BrandB,1345.53
PROD_2,Product_2,Beauty,Accessories,BrandD,1438.91
PROD_3,Product_3,Books,Fiction,BrandC,570.9
PROD_4,Product_4,Beauty,Fiction,BrandC,1101.7
PROD_5,Product_5,Fashion,Beverages,BrandD,1261.71
PROD_6,Product_6,Electronics,Clothing,BrandC,726.9
PROD_7,Product_7,Books,Makeup,BrandC,602.27
PROD_8,Product_8,Groceries,Laptop,BrandA,1531.6
PROD_9,Product_9,Beauty,Footwear,BrandC,218.06
PROD_10,Product_10,Beauty,Washing Machine,BrandC,1636.83
PROD_11,Product_11,Groceries,Fiction,BrandD,766.12
PROD_12,Product_12,Beauty,Camera,BrandD,1919.02
PROD_13,Product_13,Fashion,Accessories,BrandA,720.98
PROD_14,Product_14,Groceries,Footwear,BrandB,1526.87
PROD_15,Product_15,Home Appliances,Daily Essentials,BrandC,413.54
PROD_16,Product_16,Beauty,Haircare,BrandD,1415.99
PROD_17,Product_17,Groceries,Mobile,BrandD,128.93
PROD_18,Product_18,Groceries,Accessories,BrandD,1451.9
PROD_19,Product_19,Groceries,Refrigerator,BrandA,87.64
PROD_20,Product_20,Groceries,Washing Machine,BrandB,955.38
PROD_21,Product_21,Home Appliances,Camera,BrandB,932.38
PROD_22,Product_22,Groceries,Washing Machine,BrandD,1651.82
PROD_23,Product_23,Home Appliances,Clothing,BrandA,811.62
PROD_24,Product_24,Electronics,Camera,BrandB,435.98
PROD_25,Product_25,Electronics,Clothing,BrandB,1121.44
PROD_26,Product_26,Fashion,Fiction,BrandC,1636.89
PROD_27,Product_27,Beauty,Skincare,BrandA,1596.58
PROD_28,Product_28,Electronics,Footwear,BrandA,843.13
PROD_29,Product_29,Fashion,Fiction,BrandD,1060.91
PROD_30,Product_30,Beauty,Makeup,BrandB,425.1
PROD_31,Product_31,Groceries,Makeup,BrandB,794.44
PROD_32,Product_32,Fashion,Mobile,BrandC,1054.0
PROD_33,Product_33,Beauty,Beverages,BrandD,1499.65
PROD_34,Product_34,Beauty,Snacks,BrandD,1912.86
PROD_35,Product_35,Beauty,Academic,BrandB,1197.13
PROD_36,Product_36,Fashion,Clothing,BrandB,590.89
PROD_37,Product_37,Beauty,Mobile,BrandB,796.13
PROD_38,Product_38,Books,Mobile,BrandC,539.82
PROD_39,Product_39,Books,Snacks,BrandC,868.93
PROD_40,Product_40,Fashion,Non-Fiction,BrandB,922.96
PROD_41,Product_41,Home Appliances,Washing Machine,BrandA,547.77
PROD_42,Product_42,Books,Fiction,BrandC,1878.91
PROD_43,Product_43,Electronics,Fiction,BrandC,1517.02
PROD_44,Product_44,Books,Camera,BrandB,772.57
PROD_45,Product_45,Beauty,Clothing,BrandC,1324.9
PROD_46,Product_46,Home Appliances,Snacks,BrandD,1802.87
PROD_47,Product_47,Beauty,Camera,BrandC,734.83
PROD_48,Product_48,Fashion,Footwear,BrandB,1422.03
PROD_49,Product_49,Home Appliances,Makeup,BrandD,1108.33
PROD_50,Product_50,Groceries,Beverages,BrandA,721.05
PROD_51,Product_51,Home Appliances,Skincare,BrandC,471.0
PROD_52,Product_52,Home Appliances,Accessories,BrandB,319.69
PROD_53,Product_53,Groceries,Clothing,BrandB,629.47
PROD_54,Product_54,Groceries,Footwear,BrandA,230.12
PROD_55,Product_55,Home Appliances,Refrigerator,BrandA,738.64
PROD_56,Product_56,Home Appliances,Accessories,BrandA,1284.4
PROD_57,Product_57,Home Appliances,Refrigerator,BrandB,1783.48
PROD_58,Product_58,Books,Academic,BrandC,163.25
PROD_59,Product_59,Groceries,Beverages,BrandC,337.87
PROD_60,Product_60,Electronics,Microwave,BrandB,1032.64
PROD_61,Product_61,Books,Footwear,BrandD,108.07
PROD_62,Product_62,Books,Non-Fiction,BrandA,431.51
PROD_63,Product_63,Home Appliances,Snacks,BrandB,313.68
PROD_64,Product_64,Beauty,Daily Essentials,BrandC,314.38
PROD_65,Product_65,Groceries,Non-Fiction,BrandD,1971.18
PROD_66,Product_66,Books,Refrigerator,BrandD,1826.37
PROD_67,Product_67,Beauty,Washing Machine,BrandD,1396.92
PROD_68,Product_68,Groceries,Mobile,BrandD,936.59
PROD_69,Product_69,Electronics,Laptop,BrandA,1025.34
PROD_70,Product_70,Books,Haircare,BrandB,689.53
PROD_71,Product_71,Home Appliances,Skincare,BrandD,358.52
PROD_72,Product_72,Fashion,Laptop,BrandD,947.18
PROD_73,Product_73,Fashion,Camera,BrandB,948.21
PROD_74,Product_74,Fashion,Microwave,BrandB,514.54
PROD_75,Product_75,Electronics,Haircare,BrandB,1417.55
PROD_76,Product_76,Groceries,Haircare,BrandD,412.86
PROD_77,Product_77,Beauty,Daily Essentials,BrandA,710.06
PROD_78,Product_78,Home Appliances,Non-Fiction,BrandA,776.3
PROD_79,Product_79,Electronics,Washing Machine,BrandB,258.58
